path,type,depth,size_bytes,extension,language,category,generated_signal,binary,sha256,mode
core/src/crypto/shadowsocks.rs,file,4,7759,.rs,Rust,source,False,False,26cc874935aaa6f2f94ef05d159c47bc7c320cddd8ddcdf87a05ba5db48d0be6,0o644
core/src/crypto/shadowsocks_rust.rs,file,4,426,.rs,Rust,source,False,False,a097167db37940d301bc793c9415bd091da4de34a2ac4bf213c5ad027875ee1b,0o644
core/src/crypto/ssh_obfuscate.rs,file,4,7662,.rs,Rust,source,False,False,790e21068bc99360f0f79214377aa6d3b5d465bf5e0f5bbda7927ca2253a39b0,0o644
core/src/crypto/stream_box.rs,file,4,9044,.rs,Rust,source,False,False,e66c05ae0e740a1ad926d827ac9d45223b85fb2bdbc93cb916030a4bdc211536,0o644
core/src/crypto/tor_hybrid_encrypt.rs,file,4,9958,.rs,Rust,source,False,False,f557efe8b0213635ba1e491e7ea1bd29ff605d88c55fe55c825bba68cbe6c219,0o644
core/src/crypto/tunnel.rs,file,4,9990,.rs,Rust,source,False,False,e393ff8194f07e1a6a49ba18f29ab8060c6d216f9ed3da9b521486cffdd9d17f,0o644
core/src/crypto/v2ray_vmess.rs,file,4,398,.rs,Rust,source,False,False,335827fb30966a7ce8f71fb69a7ba7b9e689ba2837e60b673216d04ec62733ec,0o644
core/src/data,directory,3,0,,,source,False,False,,0o2755
core/src/data/mod.rs,file,4,199,.rs,Rust,source,False,False,d5d1a28526f13252a9480f75beb68dbe13c2f74ebcc5c986baab2de11dfdd066,0o644
core/src/data/ring_buffer.rs,file,4,6880,.rs,Rust,source,False,False,2f28f90464aa7957e95792a9f39935a3f987384486605eec752c0b2f1054f5c9,0o644
core/src/diagnostics,directory,3,0,,,source,False,False,,0o2755
core/src/diagnostics/html_report.rs,file,4,2874,.rs,Rust,source,False,False,3590cf23a86b9dd2904a7b2900c2963a413057da6bc0d30599d59c85f6bde34a,0o644
core/src/diagnostics/mod.rs,file,4,150,.rs,Rust,source,False,False,60ed8c31bf3c41a7fc8b72c4853373bd9eb1aff48bbce04d528bd9a25ea1e125,0o644
core/src/diagnostics/runbook.rs,file,4,6709,.rs,Rust,source,False,False,27d2d2e40dc12b4c704186c77291c6baaee657bf9ae9825dc61bb37665294ac3,0o644
core/src/dns,directory,3,0,,,source,False,False,,0o2755
core/src/dns/anonymized_dns.rs,file,4,4063,.rs,Rust,source,False,False,b11f6222daddeea07cd6e56da3f91b45d62a2bad7399b9544a019b6d0a1ca63a,0o644
core/src/dns/antipoison.rs,file,4,8989,.rs,Rust,source,False,False,e29ac1671372a5145307c1e041f816870872deb3f1d44aee5f16730942253a4b,0o644
core/src/dns/dns_client.rs,file,4,16351,.rs,Rust,source,False,False,d85b14bd5e2c22711109c17c2e652349dcecf5cb2a5e4e54d382f41cdf3ab565,0o644
core/src/dns/dnsproxy.rs,file,4,14179,.rs,Rust,source,False,False,aa491b44a30d8e7604ac993643d074c356e890e23f16e8d1d35a079f14ec3edf,0o644
core/src/dns/doh.rs,file,4,3758,.rs,Rust,source,False,False,706c828f7a961bd1b342072d6d7a3142c88b1c2dd653eafabf7eec2cd70ee48a,0o644
core/src/dns/dot.rs,file,4,3844,.rs,Rust,source,False,False,e57a305ef00237b2f01c9e7b2845b034ec6c6b4333fcfc659f00b20839615355,0o644
core/src/dns/hosts_optimizer.rs,file,4,7541,.rs,Rust,source,False,False,845dcc826ae4248b64009206ba7d8fa2c32c6283fa66a08eb2cd28776730788d,0o644
core/src/dns/mod.rs,file,4,868,.rs,Rust,source,False,False,f6d9af5be5ee96f1f7c8bf951c09b9f667194e47633604f4419161ee7259b2bd,0o644
