sha256,size_bytes,count,duplicate_waste_bytes,paths
77c9ee6a9c5d5782fb0c50b50d101189116314c14f7df0a1b0d385fc96a7ba49,1161,2,1161,desktop/frontend/node_modules/react-router-dom/LICENSE.md | desktop/frontend/node_modules/react-router/LICENSE.md
9215cd205d56527b92fe419ee695fc44aab8401725fa8bc6cb1415287689abdf,1151,2,1151,desktop/frontend/node_modules/@jridgewell/sourcemap-codec/types/scopes.d.cts | desktop/frontend/node_modules/@jridgewell/sourcemap-codec/types/scopes.d.mts
f05333bb39a354479c5310f768a5a12ef277c11f2314b11fb40b0cf1cdd732ce,1131,2,1131,desktop/frontend/node_modules/react-router/dist/development/register-CmkRspdl.d.mts | desktop/frontend/node_modules/react-router/dist/production/register-CmkRspdl.d.mts
65917edc4e8da71e5112257db643ddcb681b0a3afb008ca31ebb4390a908b9d2,1130,2,1130,desktop/frontend/node_modules/react-router/dist/development/register-roq_0qYo.d.ts | desktop/frontend/node_modules/react-router/dist/production/register-roq_0qYo.d.ts
95ced5ecf1133fbf41d409b5555c86c344f83f3b019926057ddbc07cfdcc27b3,1119,2,1119,desktop/frontend/node_modules/@oxc-project/types/LICENSE | desktop/frontend/node_modules/oxlint/LICENSE
0e48c1354203ba2ca366b62a0f22fec9e10c251d9d6420c6d435da1d079e6126,934,2,934,desktop/frontend/node_modules/zustand/esm/react.d.mts | desktop/frontend/node_modules/zustand/react.d.ts
eb1efc4186cc9692582372f788f5d7dddb0cd9f37e2e02e549d381dca7f75b76,902,2,902,desktop/frontend/node_modules/@jridgewell/trace-mapping/types/binary-search.d.cts.map | desktop/frontend/node_modules/@jridgewell/trace-mapping/types/binary-search.d.mts.map
3889f1cc96a1a391148469172d625936f5382f3bd8241d0e7951739eec768d40,766,2,766,desktop/frontend/node_modules/@jridgewell/trace-mapping/types/sourcemap-segment.d.cts | desktop/frontend/node_modules/@jridgewell/trace-mapping/types/sourcemap-segment.d.mts
40cbbb2ff7f7314ed9f006fa7f2a35b6bc1fc82fa5ea508851cefb93fba4872f,760,2,760,desktop/frontend/node_modules/@jridgewell/trace-mapping/types/sourcemap-segment.d.cts.map | desktop/frontend/node_modules/@jridgewell/trace-mapping/types/sourcemap-segment.d.mts.map
6221c24cf499d3c0fd70d3b99037869f24a7df443df3f5da3051f12c1352d4c7,757,2,757,desktop/frontend/node_modules/@jridgewell/gen-mapping/types/set-array.d.cts.map | desktop/frontend/node_modules/@jridgewell/gen-mapping/types/set-array.d.mts.map
c30436b130b6218b7714314dc41d3f459590db4bdf099eecd51cb1bda32109a8,740,2,740,desktop/frontend/node_modules/@types/react/jsx-dev-runtime.d.ts | desktop/frontend/node_modules/@types/react/ts5.0/jsx-dev-runtime.d.ts
6ea45d22e586c07a1fa7a19ee5be8c73e44b6c5659eeab3d2b6fa2f9bdff65d4,705,2,705,desktop/frontend/node_modules/@jridgewell/sourcemap-codec/types/sourcemap-codec.d.cts.map | desktop/frontend/node_modules/@jridgewell/sourcemap-codec/types/sourcemap-codec.d.mts.map
7a1c6d0e2be8a6f4dcd19f0ecfd2d7cc6cf67376d1efac99cfbf2750bcae22f5,688,2,688,desktop/frontend/node_modules/@jridgewell/remapping/types/source-map.d.cts.map | desktop/frontend/node_modules/@jridgewell/remapping/types/source-map.d.mts.map
