wave,donor,module,surfaces,high_signal_surfaces,ui_product_surfaces,bytes
234,dns_blocklists,rpz/tif.medium.txt,1,0,0,21123426
234,dns_blocklists,rpz/tif.mini.txt,1,0,0,11893086
234,dns_blocklists,rpz/tif.txt,1,0,0,87707989
234,dns_blocklists,rpz/ultimate.mini.txt,1,0,0,5804781
234,dns_blocklists,rpz/ultimate.txt,1,0,0,14911544
234,dns_blocklists,rpz/urlshortener.txt,1,0,0,404292
234,dns_blocklists,share/ad-shield-subdomains.txt,1,0,0,29829
234,dns_blocklists,share/ad-shield.txt,1,0,0,5685
234,dns_blocklists,share/apple-private-relay.txt,1,0,0,945
234,dns_blocklists,share/facebook.txt,1,0,0,1459
234,dns_blocklists,share/hoster-cname-allow.txt,1,0,0,80
234,dns_blocklists,share/microsoft.txt,1,0,0,6207
234,dns_blocklists,share/ultimate-known-issues.txt,1,0,0,7227
234,dns_blocklists,sources.md,1,0,0,27743
234,dns_blocklists,wildcard/anti.piracy-onlydomains.txt,1,0,0,539003
234,dns_blocklists,wildcard/anti.piracy.txt,1,0,0,600408
234,dns_blocklists,wildcard/blocklist-referral-onlydomains.txt,1,0,0,29010
234,dns_blocklists,wildcard/doh-onlydomains.txt,1,0,0,61595
234,dns_blocklists,wildcard/doh-vpn-proxy-bypass-onlydomains.txt,1,0,0,319598
234,dns_blocklists,wildcard/doh-vpn-proxy-bypass.txt,1,0,0,354065
234,dns_blocklists,wildcard/doh.txt,1,0,0,68478
234,dns_blocklists,wildcard/dyndns-onlydomains.txt,1,0,0,20064
234,dns_blocklists,wildcard/dyndns.txt,1,0,0,23109
234,dns_blocklists,wildcard/fake-onlydomains.txt,1,0,0,289981
234,dns_blocklists,wildcard/fake.txt,1,0,0,323676
234,dns_blocklists,wildcard/gambling-onlydomains.txt,1,0,0,4343604
234,dns_blocklists,wildcard/gambling.medium-onlydomains.txt,1,0,0,2516141
234,dns_blocklists,wildcard/gambling.medium.txt,1,0,0,2793900
234,dns_blocklists,wildcard/gambling.mini-onlydomains.txt,1,0,0,2084010
234,dns_blocklists,wildcard/gambling.mini.txt,1,0,0,2314595
234,dns_blocklists,wildcard/gambling.txt,1,0,0,4885309
234,dns_blocklists,wildcard/hoster-onlydomains.txt,1,0,0,14332
234,dns_blocklists,wildcard/hoster.txt,1,0,0,16793
234,dns_blocklists,wildcard/light-onlydomains.txt,1,0,0,845904
234,dns_blocklists,wildcard/light.txt,1,0,0,933519
234,dns_blocklists,wildcard/multi-onlydomains.txt,1,0,0,2944967
234,dns_blocklists,wildcard/multi.txt,1,0,0,3256006
234,dns_blocklists,wildcard/native.amazon-onlydomains.txt,1,0,0,10783
234,dns_blocklists,wildcard/native.amazon.txt,1,0,0,11510
234,dns_blocklists,wildcard/native.apple-onlydomains.txt,1,0,0,3502
234,dns_blocklists,wildcard/native.apple.txt,1,0,0,3723
234,dns_blocklists,wildcard/native.huawei-onlydomains.txt,1,0,0,5581
234,dns_blocklists,wildcard/native.huawei.txt,1,0,0,5852
234,dns_blocklists,wildcard/native.lgwebos-onlydomains.txt,1,0,0,8870
234,dns_blocklists,wildcard/native.lgwebos.txt,1,0,0,9559
234,dns_blocklists,wildcard/native.oppo-realme-onlydomains.txt,1,0,0,14394
234,dns_blocklists,wildcard/native.oppo-realme.txt,1,0,0,15333
234,dns_blocklists,wildcard/native.roku-onlydomains.txt,1,0,0,2680
234,dns_blocklists,wildcard/native.roku.txt,1,0,0,2831
234,dns_blocklists,wildcard/native.samsung-onlydomains.txt,1,0,0,6172
234,dns_blocklists,wildcard/native.samsung.txt,1,0,0,6579
234,dns_blocklists,wildcard/native.tiktok-onlydomains.txt,1,0,0,12762
234,dns_blocklists,wildcard/native.tiktok.extended-onlydomains.txt,1,0,0,17848
234,dns_blocklists,wildcard/native.tiktok.extended.txt,1,0,0,19011
234,dns_blocklists,wildcard/native.tiktok.txt,1,0,0,13617
234,dns_blocklists,wildcard/native.vivo-onlydomains.txt,1,0,0,7167
234,dns_blocklists,wildcard/native.vivo.txt,1,0,0,7630
234,dns_blocklists,wildcard/native.winoffice-onlydomains.txt,1,0,0,12695
234,dns_blocklists,wildcard/native.winoffice.txt,1,0,0,13478
234,dns_blocklists,wildcard/native.xiaomi-onlydomains.txt,1,0,0,9301
234,dns_blocklists,wildcard/native.xiaomi.txt,1,0,0,10004
234,dns_blocklists,wildcard/nosafesearch-onlydomains.txt,1,0,0,3967
234,dns_blocklists,wildcard/nosafesearch.txt,1,0,0,4390
234,dns_blocklists,wildcard/nsfw-onlydomains.txt,1,0,0,1790788
234,dns_blocklists,wildcard/nsfw.txt,1,0,0,2014779
234,dns_blocklists,wildcard/popupads-onlydomains.txt,1,0,0,998616
234,dns_blocklists,wildcard/popupads.txt,1,0,0,1112999
234,dns_blocklists,wildcard/pro-onlydomains.txt,1,0,0,4343708
234,dns_blocklists,wildcard/pro.mini-onlydomains.txt,1,0,0,1506234
234,dns_blocklists,wildcard/pro.mini.txt,1,0,0,1666467
234,dns_blocklists,wildcard/pro.plus-onlydomains.txt,1,0,0,4712949
234,dns_blocklists,wildcard/pro.plus.mini-onlydomains.txt,1,0,0,1714382
234,dns_blocklists,wildcard/pro.plus.mini.txt,1,0,0,1898253
234,dns_blocklists,wildcard/pro.plus.txt,1,0,0,5208786
234,dns_blocklists,wildcard/pro.txt,1,0,0,4802333
234,dns_blocklists,wildcard/social-onlydomains.txt,1,0,0,14265
234,dns_blocklists,wildcard/social.txt,1,0,0,16074
