donor,path,language,symbol,kind,line,surface_sha256,semantic_record_ids,resolution,notes
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_CONFIRM_REMOVE,val,55,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_DOUBLE_COLUMN_DISPLAY,val,56,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_GROUP_ALL_DISPLAY,val,57,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_LANGUAGE,val,58,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_APP_LOCALE_MIGRATED,val,59,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_UI_MODE_NIGHT,val,60,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_IPV6_ENABLED,val,61,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_PREFER_IPV6,val,62,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_PROXY_SHARING,val,63,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_ENABLE_LOCAL_PROXY,val,64,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_SOCKS_PORT,val,65,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
