donor,directory,descendant_surfaces,direct_surfaces,tree_sha256,semantic_record_ids
load-balancer-master,.,28,8,a8deb0b3a2aa7bf4e8343d5609529d97b21e7f1a3aa3572713c1dd595cee52a2,BASE12;LB001;LB002;LB003
load-balancer-master,.github,1,0,50f3b73dfa0bd96452300245e09fb4f7cf5c960d438817468bdf31c34e26000e,BASE12
load-balancer-master,.github/workflows,1,1,50f3b73dfa0bd96452300245e09fb4f7cf5c960d438817468bdf31c34e26000e,BASE12
load-balancer-master,.idea,4,4,16adf1ab3e43dc1f410840cc0658d13c8d923ad103e36034c8f84a00ec8f6a5f,BASE12
load-balancer-master,algs,7,7,33b935e7659d89a3fcc1f230cd4834c703f5455f85ed1656211cac020bb1c302,BASE12;LB001
load-balancer-master,balancer,2,2,c5e67d9800cde60dcedc92ec54c7e3a56bb0852e0e0c5d6edb806359492be4ba,BASE12;LB003
load-balancer-master,conf,1,1,073c1baf60411347742d10d05afd20ea2edef4a4f89a96649acdfd084737804f,BASE12;LB003
load-balancer-master,log,5,5,cb943963a969d1c3213094236d0c320a14311e8d1d0d2d0f4be66e48c5862589,BASE12;LB002
log-demultiplexer-master,.,17,5,7d5f3f95ad0ce3402682f44cf42148e4b1a6fbc674a878ffd886b3c90c5fc369,BASE13;LOGDEMUX001;LOGDEMUX002;LOGDEMUX003;LOGDEMUX004
log-demultiplexer-master,.github,1,0,6e25a17bacfb31e4c7fd02c52c29c17c7ad3f7a6e22ac4009ad919d9355aaf69,BASE13
log-demultiplexer-master,.github/workflows,1,1,6e25a17bacfb31e4c7fd02c52c29c17c7ad3f7a6e22ac4009ad919d9355aaf69,BASE13
log-demultiplexer-master,benches,3,3,4b845ef5e426b2d3dc52e1ca43ccc3d7e838e8964843f9c0e0305ebfb13bc916,BASE13;LOGDEMUX003
log-demultiplexer-master,src,8,8,8d5925b6839cef7ef76967540ce104bff373dca443eaff9a4dce84a25ba66018,BASE13;LOGDEMUX001;LOGDEMUX002;LOGDEMUX004
luci-app-https-dns-proxy-main,.,65,3,abc5f69ace7bf085aecb0557a2f1fa675374ef767a50cfa884ebc52614d1cd09,BASE14;LUCI001;LUCI002;LUCI003;LUCI004
luci-app-https-dns-proxy-main,.github,6,1,ebfa77348c0cd205da0876c58b41eb555a3a209ead0a1d6cdd2eb9875474dd99,BASE14
luci-app-https-dns-proxy-main,.github/ISSUE_TEMPLATE,3,3,f1d1494575688b50da5c66da793ddbe99c82b0acfdc474f361b4f6683d5e9203,BASE14
luci-app-https-dns-proxy-main,.github/workflows,2,2,d353b7ffc8593fefcec3c570d00de54cca346575e2d0ab34a742449f05b3cfc8,BASE14
luci-app-https-dns-proxy-main,htdocs,3,0,6e27a7544c75a1f09e8b5c37e4ae602960e4c135c94915b37eb8e16e476b2d6a,BASE14;LUCI002;LUCI003;LUCI004
luci-app-https-dns-proxy-main,htdocs/luci-static,3,0,6e27a7544c75a1f09e8b5c37e4ae602960e4c135c94915b37eb8e16e476b2d6a,BASE14;LUCI002;LUCI003;LUCI004
luci-app-https-dns-proxy-main,htdocs/luci-static/resources,3,0,6e27a7544c75a1f09e8b5c37e4ae602960e4c135c94915b37eb8e16e476b2d6a,BASE14;LUCI002;LUCI003;LUCI004
luci-app-https-dns-proxy-main,htdocs/luci-static/resources/https-dns-proxy,1,1,37742cf8238c79de50477b71a1e3c4ee873412022317151410501fe53f0394d7,BASE14;LUCI002;LUCI003;LUCI004
luci-app-https-dns-proxy-main,htdocs/luci-static/resources/view,2,0,3e102c90466e59c3bbf1d8fb600c424388de7e4fec9a51cf1e83be01dc2dd1be,BASE14;LUCI002;LUCI003;LUCI004
luci-app-https-dns-proxy-main,htdocs/luci-static/resources/view/https-dns-proxy,1,1,b6274562b98b407bac915664aee691e0cd4c4274ad4382c55b2e3e373281761e,BASE14;LUCI002;LUCI003;LUCI004
luci-app-https-dns-proxy-main,htdocs/luci-static/resources/view/status,1,0,71c49abf69b9e4fc6929359f8b32e736d91859c3d9ad1bd68446ba8dfa67574d,BASE14;LUCI003;LUCI004
luci-app-https-dns-proxy-main,htdocs/luci-static/resources/view/status/include,1,1,71c49abf69b9e4fc6929359f8b32e736d91859c3d9ad1bd68446ba8dfa67574d,BASE14;LUCI003;LUCI004
luci-app-https-dns-proxy-main,po,1,0,39273365eaeddce888ce806aa689f8b6f8aafd404d4ebe6e35ecdcd42c9fd302,BASE14
luci-app-https-dns-proxy-main,po/templates,1,1,39273365eaeddce888ce806aa689f8b6f8aafd404d4ebe6e35ecdcd42c9fd302,BASE14
luci-app-https-dns-proxy-main,root,49,0,84eb4729228861da7eed66fdaf518da82774d32d5c3f787393b99f6979e71290,BASE14;LUCI001;LUCI002;LUCI003;LUCI004
