donor,path,line,kind,symbol,surface_sha256,semantic_record_ids
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,37,function,dim,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,40,function,prompt,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,55,function,prompt_yes_no,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,67,function,random_auth_key,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,72,function,load_base_config,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,102,function,configure_apps_script,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,127,function,configure_network,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,157,function,write_config,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,setup.py,167,function,main,e0b015de747498faccdd497c5db3decad799ab19311e9cd10ed45f1a88bb5374,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,30,function,_run,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,39,function,_has_cmd,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,47,function,_install_windows,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,83,function,_is_trusted_windows,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,97,function,_cert_thumbprint,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,113,function,_install_macos,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,146,function,_is_trusted_macos,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,158,function,_detect_linux_distro,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,181,function,_install_linux,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,253,function,_is_trusted_linux,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,322,function,_install_firefox,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,361,function,_uninstall_firefox,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,399,function,_uninstall_windows,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,444,function,_uninstall_macos,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,476,function,_uninstall_linux,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,547,function,is_ca_trusted,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,560,function,install_ca,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/cert_installer.py,590,function,uninstall_ca,304c490183c737c6d84a178a2bdab7fd01cf055293a45b2334e83a2f8d78ca0e,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/codec.py,36,function,supported_encodings,84a41465d44c3a8de7c5bccdecec6064c0dfea9962c14f88eb07afa4ac853a06,BASE04;JJ004;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/codec.py,46,function,has_brotli,84a41465d44c3a8de7c5bccdecec6064c0dfea9962c14f88eb07afa4ac853a06,BASE04;JJ004;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/codec.py,50,function,has_zstd,84a41465d44c3a8de7c5bccdecec6064c0dfea9962c14f88eb07afa4ac853a06,BASE04;JJ004;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/codec.py,54,function,decode,84a41465d44c3a8de7c5bccdecec6064c0dfea9962c14f88eb07afa4ac853a06,BASE04;JJ004;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/google_ip_scanner.py,24,type,ProbeResult,bde5c897444a98636a6bf41eab367b183c8fb55db2b35bc89ae822f38bb3bde0,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/google_ip_scanner.py,31,function,ok,bde5c897444a98636a6bf41eab367b183c8fb55db2b35bc89ae822f38bb3bde0,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/google_ip_scanner.py,35,function,_probe_ip,bde5c897444a98636a6bf41eab367b183c8fb55db2b35bc89ae822f38bb3bde0,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/google_ip_scanner.py,110,function,run,bde5c897444a98636a6bf41eab367b183c8fb55db2b35bc89ae822f38bb3bde0,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/google_ip_scanner.py,177,function,scan_sync,bde5c897444a98636a6bf41eab367b183c8fb55db2b35bc89ae822f38bb3bde0,BASE04;JJ003;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/lan_utils.py,36,function,_primary_ipv4,3f519416dfb40aa77b592178312cd6ac977a21074f9a686c76bfa7f4cdc16b1f,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/lan_utils.py,59,function,get_network_interfaces,3f519416dfb40aa77b592178312cd6ac977a21074f9a686c76bfa7f4cdc16b1f,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/lan_utils.py,71,function,_add,3f519416dfb40aa77b592178312cd6ac977a21074f9a686c76bfa7f4cdc16b1f,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/lan_utils.py,98,function,get_lan_ips,3f519416dfb40aa77b592178312cd6ac977a21074f9a686c76bfa7f4cdc16b1f,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/lan_utils.py,136,function,log_lan_access,3f519416dfb40aa77b592178312cd6ac977a21074f9a686c76bfa7f4cdc16b1f,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,80,function,_supports_color,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,112,type,PrettyFormatter,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,BASE04;JJ005
JJTcpOverHttpRelayVpn-python_testing_tcp_relay,src/core/logging_utils.py,117,function,__init__,2ffc223a706cf78f45139bc323b6c62edba4f24a700eb5ae04b65fcd2fb66e65,BASE04;JJ005
