donor,path,kind,symbol,line
Nova-Proxy-App-main,core_runtime.go,symbol,stopProxy,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,startTUN,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,stopTUN,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,getTUNStatus,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,setTUNStartState,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,failTUNStart,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,getListenAddr,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,setListenAddr,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,getListenPort,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,currentListenPort,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,setListenPort,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,setSOCKSAddr,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,waitForListen,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,errorsJoin,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,popRouteEvents,n/a
Nova-Proxy-App-main,core_runtime.go,symbol,coreRuntime,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,NewAutoRouter,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,cfCacheCleanupLoop,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,StopCleanup,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,isCloudflareIP,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,IsCloudflare,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,Decide,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,GetGFWList,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,UpdateConfig,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,GetConfig,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,GetStatus,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,DialFallback,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,AutoRoutingMode,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,AutoRoutingConfig,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,AutoRouter,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,cfCacheEntry,n/a
Nova-Proxy-App-main,proxy/auto_routing.go,symbol,GFWListStatus,n/a
Nova-Proxy-App-main,proxy/cert_verify.go,symbol,IsZero,n/a
Nova-Proxy-App-main,proxy/cert_verify.go,symbol,normalizeCertVerifyConfig,n/a
Nova-Proxy-App-main,proxy/cert_verify.go,symbol,buildVerifyConnection,n/a
Nova-Proxy-App-main,proxy/cert_verify.go,symbol,maybeIgnoreUnknownAuthority,n/a
Nova-Proxy-App-main,proxy/cert_verify.go,symbol,matchesAllowedNames,n/a
Nova-Proxy-App-main,proxy/cert_verify.go,symbol,matchesAllowedSuffixes,n/a
Nova-Proxy-App-main,proxy/cert_verify.go,symbol,matchesSPKI,n/a
Nova-Proxy-App-main,proxy/cert_verify.go,symbol,spkiHashBase64,n/a
Nova-Proxy-App-main,proxy/cert_verify.go,symbol,certNames,n/a
Nova-Proxy-App-main,proxy/cert_verify.go,symbol,dnsMatch,n/a
Nova-Proxy-App-main,proxy/cert_verify.go,symbol,CertVerifyConfig,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,NewCloudflarePool,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,Start,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,Stop,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,UpdateIPs,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,GetTopIPs,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,GetAllIPsWithStats,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,healthCheckLoop,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,TriggerHealthCheck,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,RemoveInvalidIPs,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,ReportFailure,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,checkIncremental,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,checkIPs,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,ReportSuccess,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,checkAllIPs,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,rebuildActiveIPs,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,testIP,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,FetchCloudflareIPs,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,IPStats,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,CloudflarePool,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,apiIPInfo,n/a
Nova-Proxy-App-main,proxy/cf_pool.go,symbol,cfApiResponse,n/a
Nova-Proxy-App-main,proxy/config.go,symbol,ExportConfig,n/a
Nova-Proxy-App-main,proxy/config.go,symbol,normalizeDomainsForKey,n/a
Nova-Proxy-App-main,proxy/config.go,symbol,importMergeKey,n/a
Nova-Proxy-App-main,proxy/config.go,symbol,ImportConfig,n/a
Nova-Proxy-App-main,proxy/config.go,symbol,ImportConfigWithSummary,n/a
Nova-Proxy-App-main,proxy/config.go,symbol,ConfigFile,n/a
Nova-Proxy-App-main,proxy/config.go,symbol,ConfigRule,n/a
Nova-Proxy-App-main,proxy/config.go,symbol,ImportSummary,n/a
Nova-Proxy-App-main,proxy/doh.go,symbol,NewFailoverResolver,n/a
Nova-Proxy-App-main,proxy/doh.go,symbol,getNodeClient,n/a
Nova-Proxy-App-main,proxy/doh.go,symbol,exchangeNode,n/a
Nova-Proxy-App-main,proxy/doh.go,symbol,exchangeNodeWithRetry,n/a
Nova-Proxy-App-main,proxy/doh.go,symbol,exchange,n/a
Nova-Proxy-App-main,proxy/doh.go,symbol,ResolveECH,n/a
Nova-Proxy-App-main,proxy/doh.go,symbol,exchangeSafe,n/a
Nova-Proxy-App-main,proxy/doh.go,symbol,ResolveECHSafe,n/a
Nova-Proxy-App-main,proxy/doh.go,symbol,TestNode,n/a
Nova-Proxy-App-main,proxy/doh.go,symbol,ResolveIPs,n/a
Nova-Proxy-App-main,proxy/doh.go,symbol,ResolveIPAddrs,n/a
Nova-Proxy-App-main,proxy/doh.go,symbol,FailoverResolver,n/a
Nova-Proxy-App-main,proxy/error_page.go,symbol,ServeErrorPage,n/a
Nova-Proxy-App-main,proxy/error_page.go,symbol,ServeErrorPageHTTP,n/a
Nova-Proxy-App-main,proxy/error_page.go,symbol,renderErrorPage,n/a
Nova-Proxy-App-main,proxy/error_page.go,symbol,generateHTML,n/a
Nova-Proxy-App-main,proxy/error_page.go,symbol,renderCertErrorPage,n/a
Nova-Proxy-App-main,proxy/error_page.go,symbol,isRSTError,n/a
Nova-Proxy-App-main,proxy/error_page.go,symbol,ErrorContext,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,SetStandaloneProxy,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,SetCertGenerator,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,GetRelay,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,NewGASManager,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,LoadConfig,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,saveConfigLocked,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,SaveConfig,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,GetConfig,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,UpdateConfig,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,GetCACert,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,GetCAKey,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,IsCAInstalled,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,loadFallbackCertGenerator,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,Start,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,collectStats,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,Stop,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,GetStatus,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,IsRunning,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,ScanGoogleIPs,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,gasProbeCandidateIPs,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,gasProbeDNSIPs,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,gasProbeIP,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,sortResults,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,TestConnection,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,TestRelay,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,RunSpeedTest,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,NewGASRelay,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,IsAppProxied,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,GetProxyApps,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,SetProxyApps,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,GASConfig,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,GASManager,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,fallbackCertGenerator,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,GASTestResult,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,GoogleIPResult,n/a
Nova-Proxy-App-main,proxy/gas.go,symbol,SpeedTestResult,n/a
Nova-Proxy-App-main,proxy/gas_lan.go,symbol,gasLogLANAccess,n/a
Nova-Proxy-App-main,proxy/gas_lan.go,symbol,gasGetLANIPs,n/a
Nova-Proxy-App-main,proxy/gas_lan.go,symbol,gasPrimaryIPv4,n/a
Nova-Proxy-App-main,proxy/gas_lan.go,symbol,isPrivateIPv4,n/a
Nova-Proxy-App-main,proxy/gas_lan.go,symbol,gasLogSOCKS5LANAccess,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,newGASRelay,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,buildGASSNIPool,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,nextSNI,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,h2BackoffLeft,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,ensureH2,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,resetH2,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,h2Request,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,relayRequest,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,buildPayload,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,scriptIDForKey,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,execPath,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,gasIsLargeFileExt,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,relayChunked,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,gasParseContentLength,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,gasExtractBody,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,gasHostKey,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,retryWithNextScript,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,blacklistSID,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,relaySingle,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,relaySingleParallel,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,batchSubmit,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,flushBatch,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,relayBatch,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,relayHTTP1,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,acquireConn,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,releaseConn,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,tryCoalesce,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,isStatefulRequest,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,gasIsStaticAsset,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,coalesceKey,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,gasLooksLikeHTMLError,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,gasResponseBytesIsError,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,parseRelayResponse,n/a
Nova-Proxy-App-main,proxy/gas_relay.go,symbol,parseRelayJSON,n/a
