donor,path,sha256,size_bytes,classification,authority_status,language,semantic_record_ids,resolution,notes
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/CustomFmt.kt,fe9867a8f7dcd926280c531a00ce0ef95458371810d2b6416c7191c4cdee1e42,874,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/FmtBase.kt,1725f65231734864801c3801f68e4043465d3afb52cc336fd1998eab70578833,7607,implementation,authoritative,kotlin,TW-SEM001;TW-SEM003;TW-SEM004;TW-SEM006;TW-SEM009;TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/Hysteria2Fmt.kt,f4934882416995a21eda65bd252f537a69e30f59a993308359b26473c3e0a240,2551,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/ShadowsocksFmt.kt,23057dd29f8e1a44da51fbb61885f143a58225b692b02c531004e091b3c2737c,4331,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/SocksFmt.kt,e9d1031a54d31893837674120d032e4fef5ffb75e7561d88ce976314c3492862,1801,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/TrojanFmt.kt,4058cc4c8b1b662c034c86c5d78ef728a6ece2ee67fd370b61384532345e51d8,1611,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/V2rayNFmt.kt,7ee607f080fec577d4eee6809c6da2223b4c80c64e60912757a16bdb07f0eb15,750,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/VlessFmt.kt,7f66ec72acb8dd36226936552ad109525a30f240a099a1ae4d72fa8f0b1f4885,1431,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/VmessFmt.kt,e004e7990bdbcdcf88b0bfee5ac8820829aec204deb9a4207519184a1b85947f,6071,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/fmt/WireguardFmt.kt,c3fe753457c8b1e6887ad1592f94a5dce3b44634ad928b2919b3e591d9e3c3b3,4775,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/handler/AngConfigManager.kt,e4f9adc5687149475db9bd8d33e545161b6fde0297645a6e815f8551aa7c8447,26121,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/handler/AppLocaleManager.kt,5e53f9806d063d72aa6db16f20333f4cecdf7a10339fb26f6cfff3156c541e90,5663,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/handler/CertificateFingerprintManager.kt,ea4ed8e6ce367d3675df085caa66cc8b9dcb62954129bd71e9122acfb7596ec6,2806,implementation,authoritative,kotlin,TW-SEM020;TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/handler/MmkvManager.kt,45ac2102d47fba3f0ad49c4a50daf86a5f3f7ad9c69c6e7b65c8f4778aefb477,24130,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/handler/NotificationManager.kt,9385f012b767557e8d49e13d4a8cd9bbd8c5b2688473a067e19ff0a20a09cd35,11375,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/handler/SettingsChangeManager.kt,a1f6432b58451b06e63646765984c4d95ab7561f53289cb2e012103bd4abfa97,1634,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/handler/SettingsManager.kt,074e08c0f075a3d7bd0149dc4f40194e5f882fc9142d9d838a9b45fdd3e4ab9d,20883,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/handler/SpeedtestManager.kt,c5c0fd5d7af2d4ec9dfa3e8b5846b4b72853b981a89b556af5b3bebec50c8327,2895,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/handler/SubscriptionUpdater.kt,c180cd5679c8e19d3ee2280d1d47e1fc24ad942a1ebefc5adbf95f95620e1ccc,7024,implementation,authoritative,kotlin,TW-SEM019;TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/handler/UpdateCheckerManager.kt,1982f65f01656c2fabf9312eeee52e4d401fa138c09dc4c8ca9ae6e30970a43e,3751,implementation,authoritative,kotlin,TW-SEM021;TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/handler/WebDavManager.kt,223b9f47b085f9486edc2801858e2d238a8bf5867bc251882318140faafce5d7,7810,implementation,authoritative,kotlin,TW-SEM022;TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/helper/FileChooserHelper.kt,5a3b3216a57e165591b4131697fc7a2153a29d29e3a9023e9898f4eaa0000615,3316,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/helper/MessageHelper.kt,4eaa2ae189fbf8de060618208e46ae7c2927a96c64dfa6b1298c7c8233d23323,4306,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/helper/NotificationHelper.kt,5415f8a9129d8442ac4821c64bec315d16dfbc53d7ed8ac3c8ded7e8b8222268,6057,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/helper/PermissionHelper.kt,c334983abcaf5399262a9537668e003d12cdc09f324e161d38a121c1d89c87af,1831,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/helper/QRCodeScannerHelper.kt,a041d374a87b0e91c663f7803216a07c36fa1d71b96143cac2005cdc653598e1,1369,implementation,authoritative,kotlin,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
