donor,path,sha256,symbol,line,signature,language,symbol_id,semantic_record_ids,resolution
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModel.kt,7debfa7e0d4db4a93579483042a2663df0c035be9e0e0429f5350b57ea1d556d,class,71,"enum class SessionPhase { IDLE, SCANNING, STOPPING, SPEED_TESTING }",Kotlin,S7-SYM-00053,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModel.kt,7debfa7e0d4db4a93579483042a2663df0c035be9e0e0429f5350b57ea1d556d,ScanUiState,73,data class ScanUiState(,Kotlin,S7-SYM-00054,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModel.kt,7debfa7e0d4db4a93579483042a2663df0c035be9e0e0429f5350b57ea1d556d,get,94,get() = results.filter { !it.isPhase2 && it.isHealthy },Kotlin,S7-SYM-00055,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModel.kt,7debfa7e0d4db4a93579483042a2663df0c035be9e0e0429f5350b57ea1d556d,get,96,get() = results.filter { it.isPhase2 },Kotlin,S7-SYM-00056,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModel.kt,7debfa7e0d4db4a93579483042a2663df0c035be9e0e0429f5350b57ea1d556d,MainViewModel,99,class MainViewModel : ViewModel() {,Kotlin,S7-SYM-00057,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModel.kt,7debfa7e0d4db4a93579483042a2663df0c035be9e0e0429f5350b57ea1d556d,if,117,if (isPhase2) {,Kotlin,S7-SYM-00058,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModel.kt,7debfa7e0d4db4a93579483042a2663df0c035be9e0e0429f5350b57ea1d556d,onFinished,170,override fun onFinished() {,Kotlin,S7-SYM-00059,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModel.kt,7debfa7e0d4db4a93579483042a2663df0c035be9e0e0429f5350b57ea1d556d,onError,174,override fun onError(err: String) {,Kotlin,S7-SYM-00060,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModel.kt,7debfa7e0d4db4a93579483042a2663df0c035be9e0e0429f5350b57ea1d556d,updateConfig,179,fun updateConfig(config: ScanConfig) {,Kotlin,S7-SYM-00061,S7-042,resolved-by-seventh-order-ledger
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main/MainViewModel.kt,7debfa7e0d4db4a93579483042a2663df0c035be9e0e0429f5350b57ea1d556d,fetchUserMeta,183,fun fetchUserMeta() {,Kotlin,S7-SYM-00062,S7-042,resolved-by-seventh-order-ledger
