wave,donor,directory,direct_files,direct_dirs
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/com,0,1
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/com/thetransactioncompany,0,1
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/com/thetransactioncompany/jsonrpc2,9,2
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/com/thetransactioncompany/jsonrpc2/server,5,0
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/com/thetransactioncompany/jsonrpc2/util,4,0
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/net,0,1
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/net/i2p,0,1
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/net/i2p/i2pcontrol,4,2
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/net/i2p/i2pcontrol/security,5,0
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/net/i2p/i2pcontrol/servlets,1,2
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/net/i2p/i2pcontrol/servlets/configuration,1,0
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/net/i2p/i2pcontrol/servlets/jsonrpc2handlers,10,0
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/org,0,1
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/org/mindrot,0,1
post-refactor-4d,i2p.i2p-master,apps/i2pcontrol/java/org/mindrot/jbcrypt,1,0
post-refactor-4d,i2p.i2p-master,apps/i2psnark,16,3
post-refactor-4d,i2p.i2p-master,apps/i2psnark/java,2,1
post-refactor-4d,i2p.i2p-master,apps/i2psnark/java/src,0,1
post-refactor-4d,i2p.i2p-master,apps/i2psnark/java/src/org,0,1
post-refactor-4d,i2p.i2p-master,apps/i2psnark/java/src/org/klomp,0,1
post-refactor-4d,i2p.i2p-master,apps/i2psnark/java/src/org/klomp/snark,46,5
post-refactor-4d,i2p.i2p-master,apps/i2psnark/java/src/org/klomp/snark/bencode,4,0
post-refactor-4d,i2p.i2p-master,apps/i2psnark/java/src/org/klomp/snark/comments,3,0
post-refactor-4d,i2p.i2p-master,apps/i2psnark/java/src/org/klomp/snark/dht,16,0
post-refactor-4d,i2p.i2p-master,apps/i2psnark/java/src/org/klomp/snark/standalone,4,0
post-refactor-4d,i2p.i2p-master,apps/i2psnark/java/src/org/klomp/snark/web,7,0
post-refactor-4d,i2p.i2p-master,apps/i2psnark/locale,32,0
